,en,tn
2074,to furnish a house,جَهِّزْ الدَّارْ
2075,of or relating to neighbors,جُورَا
2076,"plaster, whitewash",جِيرْ
2077,to whitewash/plaster the roof,جَيّرْ السْطَحْ
2078,paint,دُهْنْ
2079,apartment building guard,حَارِسْ العِمَارَة
2080,the edge of the table,حَافَّةْ الطَّاوْلَة
2081,"rope, wire",حْبَلْ
2082,clothesline,حْبَلْ مْتَاعْ الشْرِيطَة
2083,to iron clothes,حَدِّدْ لَحْوَايِجْ
2084,"garden, yard",حديقة
2085,"a (plastic) carpet, rug",حْسِيرَة
2086,to set the table,حَضِّرْ الطَّاوْلَة
2087,to make the bed,حَضِّرْ الفَرْشْ
2088,to scrub clothes,حَكْ الحْوَايِجْ
2089,to wipe the floor with a brush,حَكْ القَاعَة بِالبْرُوصْ
2090,"loofah sponge, brillo pad, steel wool",حَكَّاكَة
2091,"can, jar",حُكَّة
2092,plastic jar,حُكَّة پْلَاسْتِيكْ
2093,big cup/mug for water,حَلَاّبْ
2094,"someone who figures things out quickly, picks up on people, knows what they're going to do",حَلَاّبْ
2095,"hut, simple house",حُوشْ
2096,basin,حُوضْ
2097,wall,حيطْ
2098,he turned on the faucet,خَدِّمْ العُصْفُورْ مْتَاعْ المَاءْ
2099,"wardrobe, closet",خْزَانَة
2100,pottery,خَزَفْ
2101,comb,خَلَّاصْ
2102,"toll collector, person who collects tickets",خَلَّاصْ
2103,to clean using a rag,خَيِّشْ
2104,"to wipe the floor with someone, totally ridicule",خَيِّشْ
2105,a rag for cleaning,خِيشَة
2106,something or someone who is useless,خِيشَة
2107,"thread, string",خيط
2108,to sew,خيّط
2109,apartment,ابَارْتُومُونْ
2110,a house,دار
2111,a traditional Tunisian house,دَارْ عَرْبِي
2112,house built by a construction company called Essnit,دَارْ مْتَاعْ السْنِيتْ
2113,bottle,دَبُّوزَة
2114,long simple needle,دَبُّوسْ
2115,a small bottle,دْبِيبْزَة
2116,"a step, stair",دَرْجَة
2117,"degree, point",دَرْجَة
2118,stairs,دْرُوجْ
2119,to knock on the door,دَقّْ البَابْ
2120,doll,دُمْيَة
2121,duplex,دُوپْلَاكِسْ
2122,"sofa, couch",دِيفُونْ
2123,brand name of liquid soap,دِينُولْ
2124,ground floor,رَا دو شو سا
2125,"electric heater,",رَازِيسْتُونِسْ
2126,electric resistor,رَازِيسْتُونِسْ
2127,squeegee,رَاكْلَاتْ
2128,"blender, mixer, grinder",رَحَّايْ
2129,"blender, mixer, grinder",رَحَّايَة
2130,"bubbles from soap, suds",رَغْوَة
2131,shelf,رَفْ
2132,to twitch (with the eyes),رَفْ
2133,"to remodel, rebuild, fix up, repair",رَمِّمْ
2134,curtain,رِيدُو
2135,"Carpet, rug",زَرْبِيَّة
2136,table leg,سَاقْ الطَّاوْلَة
2137,bathroom,صالْ دُوبَانْ
2138,"faucet, tap",سَبَّالَة
2139,broomstick,سْبِرْكَة
2140,sponge,سْپُونْتَاكِسْ
2141,studio apartment,سْتُودْيُو
2142,recording studio,سْتُودْيُو
2143,pen,سْتيلُو
2144,umbrella,سْحَابَة
2145,cloud,سْحَابَة
2146,heater,سَخَّانْ
2147,wardrobe,سدَّة
2148,Hair dryer,سِشْوَارْ
2149,roof,سْطَحْ
2150,"pail, bucket",سْطَلْ
2151,sponge,سْفَنِجْ
2152,ceiling,سْقَفْ
2153,central section of Arab house,سْقِيفَة
2154,scotch tape,سْكُوتِشْ
2155,knife,سِكِّينَةْ
2156,dull knife,سِكِّينَة حَافْيَةْ
2157,bread knife,سِكِّينَةْ خُبْزْ
2158,Sharp knife,سِكِّينَةْ مَاضْيَةْ
2159,ladder,سَلُّومْ
2160,saucer,سُوتَاسْ
2161,"wall, fence",سُورْ
2162,wall paint,سورفاسور
2163,"to mop, clean the floor with water",سَيَّقْ
2164,chair,شاز
2165,"armchair, adirondack chair",شَازْ لُونْقْ
2166,window,شِبَاّكْ
2167,to hang something with clothespins,شدها بالشكاكل
2168,to be hanging on by a thread,شدها بالشكاكل
2169,clothesline,شْرِيطَةْ
2170,sponge,شيفونة
2171,"bag (plastic, canvas, etc.)",شكارة
2172,clothespin,شكّال
2173,barrette (for woman's hair),شكّال
2174,a candle,شَمْعَةْ
2175,"chimney, fireplace",شْمِنِيَّةْ
2176,drill,شنيول
2177,"boiler, water heater",شوديار
2178,"tasks, errands, jobs to get done",شور
2179,heater,شوفاج
2180,water heater,شُّوفُّو
2181,"rag, old towel",شوليقة
2182,to dry clothes,شَيَّحْ لَحْوَايِجْ
2183,soap,صَابُونْ
2184,green soap,صَابُونْ أَخْضِرْ
2185,musk soap,صَابُونْ إِمَسِّكْ
2186,"hall, living room",صَالَة
2187,living room,صَالُونْ
2188,bowl,صَحْفَةْ
2189,plate,صْحَنْ
2190,folding ladder,صَرَّافَة
2191,"floor, level",طَابِقْ
2192,table,طَابِلْ
2193,bottlecap,طَابُّو
2194,stool,طَابُورِيَّةْ
2195,"large cup, small pitcher",طَاسَةْ
2196,"brain, mind",طَاسَةْ
2197,"floor, level",طَاقْ
2198,last floor,طَاقْ لِخِّرْ
2199,table,طَاوْلَة
2200,a dinner table,طَاوْلَةْ مْتَاعْ مَاكْلَةْ
2201,dish,طْبَقْ
2202,to fold clothes,طْوَى حْوَايْجُو
2203,"to fill with a cup, small pitcher",عَبَّى بِالطَّاسَةْ
2204,to vacuum,عَدَّى لَسْبِيرَاتُورْ
2205,handle,عُرْوَةْ
2206,crass insult,عُرْوَةْ
2207,"simple room, shed, cottage, small dwelling",عِشَّةْ
2208,to wring wet clothes,عْصَرْ لِحْوَايِجْ
2209,apartment building,عْمَارَةْ
2210,to furnish a house,عَمِّرْ الدَّارْ
2211,to decorate,عْمَلْ دِيكُورَاسْيُونْ
2212,to clean the house,عْمَلْ مَينَاجْ
2213,broomstick,عُودْ سْبِرْكَةْ
2214,to thread a needle,عَيِّنْ الخِيطْ
2215,"sieve, collander",غُرْبَالْ
2216,Tunisian family name,غُرْبَالْ
2217,washing machine,غَسَّالَةْ
2218,to wash,غْسَلْ
2219,to wash one's clothes,غْسَلْ حْوَايْجُو
2220,"laundry, washing",غَسِيلْ
2221,large bottle for rosewater,فَاشْكَةْ
2222,tiles on a wall,فَايُونْسْ
2223,pottery,فخُّارْ
2224,mattress or rug,فْرَاشْ
2225,blanket,فَرَّاشِيَّةْ
2226,single bed,فَرْشْ بُو بْلَاصَةْ
2227,double bed,فَرْشْ بُو بْلَاصْتِينْ
2228,"baby bed, crib",فَرْشْ مْتَاعْ بِبِّيَاتْ
2229,"foldable bed, pack n play",فَرْشْ يِتِطْوَى
2230,fork,فَرْشِيطَةْ
2231,broomstick,فُرْكَةْ
2232,oven,فُرْنْ
2233,refrigerator,فْرِيجِيدَارْ
2234,freezer,فْرِيڨْو
2235,plunger,فَنْتُوز
2236,fan (blows air),فُنْتِيلاَتُورْ
2237,a small cup for coffee or tea,فِنْجَانْ
2238,felt pen,فُوتِرْ
2239,"sofa, couch",فُوتُويْ
2240,oven,فُورْ
2241,towel (for public baths),فُوطَةْ
2242,pane of glass,فِيتْرْ
2243,veranda,فِيرَانْدَا
2244,garage,ڨَارَاجْ
2245,"grass, yard",ڨَازُونْ
2246,bathroom,قَاعَةْ الِإسْتِحْمَامْ
2247,drawer,قْجَرْ
2248,rounded clay pieces for roofs,قَرْمُودْ
2249,product for cleaning toilet/sink,ڨْرِيزَا
2250,"large bucket, usually previously a paint can",ڨِصْدْرِيَّةْ
2251,toilet bowl,قَصْرِيَّةْ
2252,"large dish or bowl, used for couscous or for bathing",قَصْعَةْ
2253,basket,قُفَّةْ
2254,"larger ceramic dish/bowl for couscous, etc.",قَلَّالَةْ
2255,frying pan,قَلَّايَةْ
2256,large wardrobe,ڨْلَصْ
2257,"pencil, marker, crayon",قْلَمْ
2258,a traditional small Tunisian cup for tea,كَاسْ طْرَابِلْسِي
2259,large pot,كَاسَارُونَةْ
2260,"wax paper, paper",كَاغِتْ
2261,bowl that holds coals/embers,كَانُونْ
2262,lighter/burner on a stove,كانون متاع الغاز
2263,oven/container for hookah coals,كَانُونْ مْتَاعْ وْلَعْ
2264,hose,كَاوَتْشُو
2265,roll of red thread,كُبّْ أَحْمِرْ
2266,Chairs,كْرَاسِي
2267,"pot for cooking couscous, any pot with holes for steaming",كَسْكَاسْ
2268,"hallway, corridor",كُلْوَارْ
2269,Traditional Tunisian carpet,كْلِيمْ
2270,Couch,كَنَّابِي
2271,"painting, picture, something framed",كْوَاتْرُو
2272,dressing table,كْوَافُوزْ
2273,to lock the door,كَوِّبْ البَابْ
2274,lock,كُوبَةْ
2275,plastic hose,كَوَتْشُو
2276,Kitchen,كُوجِينَة
2277,"hut, simple house",كُوخْ
2278,remote control,كُومُونْدْ
2279,nightstand,كُومِيدِينُو
2280,"duvet, cover",كُووَاتْ
2281,LED bulbs,لَادْ
2282,she is taking care of the house,لَاهْيَةْ بِالدَّارْ
2283,sink (in kitchen or bathroom),لَفَابُو
2284,to gather the laundry after it's dried,لَمّْ الشْرِيطَةْ
2285,large wooden ladle,لُوشْ
2286,unclear,لُوشْ
2287,to plaster a wall,لَيَّقْ
2288,measuring tape,ماتر ريبون
2289,"caulking, filler for cars or walls",مَاسْتِيكْ
2290,"dishes, cookware",مَاعُونْ الكُوجِينَةْ
2291,landlord,مَالْكَةْ
2292,thick needle,مِبِّرْ
2293,homemade,مْتَاعْ دَارْ
2294,belonging to the family,مْتَاعْ دَارْ
2295,a pillow,مْخَدَّةْ
2296,chimney,مْدَخْنَةْ
2297,"housewife, homemaker",مْرَا فِي الدَّارْ
2298,mirror,مْرَايَةْ
2299,"large, cheaper rug",مَرْڨُومْ
2300,"clothespin, safety pin",مَسَّاكْ
2301,drain,مَسْكُوكَةْ
2302,kitchen,مَطْبَخْ
2303,hammer,مَطَرْقَةْ
2304,mattress,مَطْلَا
2305,dishes,مَعُونْ
2306,tools,مَعُونْ
2307,spoon,مَغَرْفَةْ
2308,wooden spoon,مَغَرْفَةْ لُوحْ
2309,scissors,مْقَصْ
2310,"chair, seat",مَقْعِدْ
2311,microwave,مِكْرُو أُونْدْ
2312,iron (for clothes),مَكْوَى
2313,"hallway, aisle",مَمْشَى
2314,tablecloth,مِنْدِيلَةْ مْتَاعْ طَاوْلَةْ
2315,towel,مَنْشَفَةْ
2316,furniture,مُوبِلْ
2317,mosquito net,مُوسْتِيكَارْ
2318,lower-quality carpet,مُوكَاتْ
2319,"small table, coffee table",مِيدَةْ
2320,"electric mixer, blender",مِيكْسُورْ
2321,"chimney fire, fire in fireplace",نَارْ الشْمِينِيَّةْ
2322,doorbell,نَّاقُوزْ
2323,to hang out clothes,نشر لحوايج
2324,to ring a doorbell,نَقِّزْ
2325,"middle of house, hall",وِسْطْ الدَّارْ
2326,small living room,وِسْطِيَّةْ
2327,"bottom half of steaming set, large pot",بُرْمَة
2328,large claw hammer,مَاسَّةْ
2329,baseboard (wood or marble),بْلِينْطَة
2330,"to get the house in order, clean up",تْرِيقْلِ الدَّارْ
2331,"stove, burner",كَانُونْ مْتَاعْ الغَازْ
2332,carpet,بِسَاطْ
2333,plastic tarp,بَاشْ (بلاستيك)
2334,to decorate the house,زَيِّنْ الدَّارْ
2335,sewing needle,إبْرَة مْتَاعْ خْيَاطَة
2336,"jug, pitcher",إبْرِيقْ
2337,sponge,إپُونْجْ
2338,odorizer spray/hanging: Air Fraiche,آرْ فْرَاشْ
2339,"wardrobe, closet",أَرْمْوَارْ
2340,vacuum cleaner,أسْپِيرَاتُورْ
2341,to set the table,إڨِدْ الطَّاوْلَة
2342,"glass, cup (rural)",آمْبَة
2343,lightbulb,أمْبُوبَة
2344,powdered soap brand,أُومُو
2345,door,بَابْ
2346,door with chain lock,بَابْ بِالبْلوكِيسْ
2347,entrance door,بَابْ لُونْتْرَا
2348,large bath towel,باشْكِيرْ
2349,"bathtub, bath, big container",بَانُو
2350,"bucket, jug, container",بِدُونْ
2351,teapot,بَرَّادْ
2352,shutters,بِرْسْيَانْ
2353,balcony,بَرْكُونْ
2354,"tray, platter",بْلَاتُو
2355,stage,بْلَاتُو
2356,apartment building,بَلَاصْ
2357,"lock, deadbolt",بْلَجْ
2358,"hallway, entrance",بَهُوْ
2359,gate,بَوَّابَة
2360,mailbox,بْوَاتَالَاتِرْ
2361,"knob (door, lock)",بُوبِينَة
2362,room,بِيتْ
2363,bathroom,بِيتْ البَانُو
2364,freezer,بِيتْ الثَّلْجْ
2365,small room on the roof,بِيتْ السْطَحْ
2366,wash room,بِيتْ الصَّابُونْ
2367,"guestroom, living room",بِيتْ الضْيُوفْ
2368,"dining room, kitchen",بِيتْ الفْطُورْ
2369,"living room, sitting room",بِيتْ القْعَادْ
2370,bedroom of the parents,بِيتْ النُّومْ
2371,"guestroom, living room",بِيتْ ضْيَافَة
2372,"large clay jar, vessel",بتِيَّة
2373,plastic jug,بِيدُونْ
2374,water jug,بِيدُونْ مْتَاعْ مَاءْ
2375,"scalpel, carver, knife",بِيسْتُورِي
2376,napkin,پَاپْيَا سَارْفِيَاتْ
2377,tissue,پَاپْيَا مُوشْوَارْ
2378,cupboard,پْلَاكَارْ
2379,door,پُورْتْ
2380,French windows,پُورْتْ فُونَاتْرْ
2381,nightstand,تَابْلْ دُونْوِي
2382,carpet,تَاپِي
2383,furnishing,تَاْثِيثْ
2384,to lay tiles,تزلّز
2385,bed,فَرْشْ
2386,chair,كُرْسِي
2387,"coffee spoon, teaspoon",مْغَرْفَةْ مْتَاعْ قَهْوَةْ
2388,"cup, glass, mug",كَاسْ
2389,freezer,كُونْجِيلَاتُورْ
2390,gutter,مِيزَابْ
2391,"napkin, cloth",مِنْدِيلْ
2392,hanger,مِعْلَاقْ
2393,house,مَنْزِلْ
2394,key,مِفْتَاحْ
2395,knife handle,يِدْ السِكِّينَةْ
2396,match (for lighting a fire),وْقِيدَةْ
2397,tiles,كاَرْلَاجْ
2398,villa,فِيلَا
2399,to wash the dishes,غْسَلْ المَاعُونْ
2400,"watch (time-keeping piece), clock tower",مُنْقَالَةْ
2401,"to worship, honor, serve",تْعَبِّدْ
2402,to be full of the Holy Spirit,تعبّى بالروح بالقدس
2403,to be baptized,تْعَمِّدْ
2404,"to sanctify, make holy",تْقَدِّسْ
2405,to speak by revelation,تْكَلِّمْ بِالوَحِي
2406,The disciples of Christ,تَلَامِيذْ المَسِيحْ
2407,"to be anointed, to have oil put on",تْمَسَّحْ
2408,to become a Christian,تْنَصِّرْ
2409,repentance,تَوْبَة
2410,"Torah, Law, Pentateuch",تَوْرَاةْ
2411,theology,تِيُولُوجِي
2412,The Holy Trinity,ثَّالُوثْ المُقدَّسْ
2413,hell,جَحِيمْ
2414,Good Friday,جُمُعَةُ الآَلَامْ
2415,"paradise, Eden, heaven",جَنَّة
2416,Hell,جهنّم
2417,Ezekiel,حَزْقِيَالْ
2418,to praise,حْمِد
2419,the disciples of Christ (according to the Islamic context),حَوَّارِيُونْ
2420,eternal life,حَيَاْة الأَبَدِيَّة
2421,eternal life,حَيَاةْ خَالْدَة
2422,spiritual life,حَيَاةْ رُّوحِيَّة
2423,"to come back to life, be resurrected, be restored to health",حْيَى
2424,creator,خَالَقْ
2425,he served the Lord,خْدِمْ الرَّبْ
2426,a sin,خَطِيئَة
2427,of or relating to Pentecost,خَمْسِينِي
2428,in one's fifties,خَمْسِينِي
2429,Bible study,دِرَاسَة عَالكِتَابْ المُقَدَّسْ
2430,devil,دْيَابِلْ
2431,Religion,دِيَانَة
2432,monastery,دِيرْ
2433,Religion,دِينْ
2434,religious,دِينِي
2435,"God, the Lord",رَبْ
2436,"God, the Lord",رَبِّى
2437,"to repent, come back to God",رجع لربي
2438,"a man of God, churchman",رَجُلْ كَنِيسَة
2439,"messenger, prophet",رَسُولْ
2440,"To sing worship songs, sing",رَنِّمْ
2441,Monks,رُهْبَانْ
2442,Holy Spirit,رُوحْ القُدُسْ
2443,to praise the Lord,سَبَّحْ لْرَبِّي
2444,he consencrated his life to the Lord,سَخِّرْ حْيَاتُو لْرَبِّي
2445,eternal,سَرْمَدِي
2446,book of the Bible,سِفْرْ
2447,zero,سِفْرْ
2448,chapel,شَابَالْ
2449,Satan (male),شَيْطَانْ
2450,evil or tricky man,شَيْطَانْ
2451,to fast from meat,صَامْ عَ لْحَمْ
2452,a person who performs miracles,صَانِعْ مُعْجِزَاتْ
2453,prayer,صَلَاةْ
2454,to pray,صَلَّى
2455,to pray for someone,صَلَّى مِنْ أَجْلُو
2456,cross,صَلِيبْ
2457,fasting,صَوْمْ
2458,to request the presence of God,طْلَبْ حُضُورَ اللّهْ
2459,the throne of the Lord,عَرْشْ الرَبّْ
2460,church member,عُضْوْ فِي كَنِيسَةْ
2461,to declare the glory of Jesus,عْلِنْ مَجْدْ يَسُوعْ
2462,to baptize,عَمِّدْ
2463,they did the Lord's Prayer,عَمْلُو الصَلَاةْ الرَبَّانِيَّةْ
2464,they organized a mass,عَمْلُو مَاسْ
2465,Easter,عِيدْ القِيَامَةْ
